Protocol Number | Time (s) | Source Cluster | Destination Cluster | Source IP | Destination IP | Protocol Name | Length (bytes) | Flags (hex)
6 | 1741753086.24 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 324 | DF
6 | 1741753086.35 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753086.46 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 276 | DF
6 | 1741753086.56 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753086.67 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753086.78 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753086.89 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753087.00 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753087.11 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753087.22 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753087.33 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753087.44 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 368 | DF
6 | 1741753087.55 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 363 | DF
6 | 1741753087.65 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753087.76 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753087.87 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 562 | DF
6 | 1741753087.98 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753088.09 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753088.20 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753088.31 | B | Unknown | 192.168.68.71 | 84.201.221.35 | TCP | 66 | DF
6 | 1741753088.42 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753088.53 | Unknown | B | 84.201.221.35 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753088.64 | B | Unknown | 192.168.68.71 | 84.201.221.35 | TCP | 54 | DF
6 | 1741753088.75 | B | Unknown | 192.168.68.71 | 84.201.221.35 | TCP | 479 | DF
6 | 1741753088.85 | Unknown | B | 84.201.221.35 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753088.97 | Unknown | B | 84.201.221.35 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753089.08 | Unknown | B | 84.201.221.35 | 192.168.68.71 | TCP | 463 | DF
6 | 1741753089.19 | B | Unknown | 192.168.68.71 | 84.201.221.35 | TCP | 54 | DF
6 | 1741753089.30 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753089.41 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753089.52 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753089.63 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 249 | DF
6 | 1741753089.73 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753089.84 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753089.95 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753090.06 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 232 | DF
6 | 1741753090.17 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753090.28 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753090.39 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753090.50 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753090.61 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753090.72 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753090.83 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753090.94 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753091.05 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 324 | DF
6 | 1741753091.16 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753091.27 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 276 | DF
6 | 1741753091.38 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753091.49 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753091.60 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753091.70 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753091.81 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753091.92 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753092.03 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753092.14 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753092.25 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 368 | DF
6 | 1741753092.36 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 363 | DF
6 | 1741753092.47 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753092.58 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753092.69 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 562 | DF
6 | 1741753092.80 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753092.91 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753093.01 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753093.12 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753093.23 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753093.34 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753093.45 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753093.56 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 249 | DF
6 | 1741753093.67 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 249 | DF
6 | 1741753093.78 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753093.89 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753094.00 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753094.10 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 232 | DF
6 | 1741753094.21 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753094.32 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753094.43 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753094.54 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753094.65 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753094.76 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753094.87 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753094.97 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 324 | DF
6 | 1741753095.08 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753095.20 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 276 | DF
6 | 1741753095.31 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753095.42 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753095.52 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753095.63 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753095.74 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753095.85 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753095.96 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753096.07 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753096.18 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 368 | DF
6 | 1741753096.29 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 363 | DF
6 | 1741753096.40 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753096.51 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753096.61 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 562 | DF
6 | 1741753096.72 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753096.83 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753096.94 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753097.05 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753097.16 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753097.27 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753097.38 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753097.49 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753097.59 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753097.70 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 272 | DF
6 | 1741753097.81 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753097.92 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753098.03 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753098.14 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 272 | DF
6 | 1741753098.25 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753098.36 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 206 | DF
6 | 1741753098.47 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753098.58 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753098.69 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753098.80 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753098.91 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753099.03 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753099.13 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753099.25 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 272 | DF
6 | 1741753099.35 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753099.46 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 206 | DF
6 | 1741753099.57 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753099.68 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753099.79 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753099.90 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753100.01 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 272 | DF
6 | 1741753100.12 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753100.23 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 206 | DF
6 | 1741753100.34 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753100.44 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753100.55 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753100.66 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753100.77 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753100.99 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753101.09 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753101.20 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753101.31 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753101.42 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 272 | DF
6 | 1741753101.53 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753101.64 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 206 | DF
6 | 1741753101.75 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753101.86 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753101.97 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753102.07 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
17 | 1741753102.18 | B | A | 192.168.68.71 | 239.255.255.250 | UDP | 179 | 
17 | 1741753102.29 | B | B | 192.168.68.1 | 192.168.68.71 | UDP | 455 | DF
6 | 1741753102.40 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753102.51 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
17 | 1741753102.62 | B | A | 192.168.68.60 | 224.0.0.251 | UDP | 100 | 
17 | 1741753102.84 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
2 | 1741753102.95 | B | A | 192.168.68.60 | 224.0.0.251 | Other | 46 | 
17 | 1741753103.05 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753103.17 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753103.27 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
6 | 1741753103.38 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
17 | 1741753103.49 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753103.60 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753103.72 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753103.82 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753103.93 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
17 | 1741753104.04 | B | A | 192.168.68.1 | 224.0.0.251 | UDP | 86 | DF
6 | 1741753104.15 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753104.26 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753104.37 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 249 | DF
6 | 1741753104.48 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753104.59 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753104.70 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753104.81 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 232 | DF
6 | 1741753104.91 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753105.02 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753105.13 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753105.24 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753105.35 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753105.46 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753105.57 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753105.68 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753105.79 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 324 | DF
6 | 1741753105.90 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753106.01 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 276 | DF
6 | 1741753106.11 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753106.23 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 74 | DF
6 | 1741753106.33 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753106.45 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753106.55 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753106.66 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753106.77 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753106.88 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753106.98 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 368 | DF
6 | 1741753107.09 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 363 | DF
6 | 1741753107.20 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753107.31 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753107.42 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 562 | DF
6 | 1741753107.53 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753107.64 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753107.75 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753107.86 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753107.97 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 66 | DF
6 | 1741753108.08 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 66 | DF
6 | 1741753108.19 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753108.29 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 249 | DF
6 | 1741753108.40 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 54 | DF
6 | 1741753108.51 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753108.62 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 1514 | DF
6 | 1741753108.73 | B | B | 192.168.68.71 | 192.168.68.1 | TCP | 54 | DF
6 | 1741753108.83 | B | B | 192.168.68.1 | 192.168.68.71 | TCP | 232 | DF
